date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:54	30434/30434	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jun%202017%2022:10:54%20GMT	http://theprogroup.co.nz/	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/index.html	(from )
10:10:54	67/67	---M--	200	added ('OK')	text/plain	date:Sun,%2011%20Jun%202017%2022:10:53%20GMT	http://theprogroup.co.nz/robots.txt		(from )
10:10:54	121/121	---M-Z	200	added ('OK')	text/css	etag:%2279-55197440c1d61-gzip%22	http://theprogroup.co.nz/wp-content/themes/progroup/style.css	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/progroup/style.css	(from http://theprogroup.co.nz/)
10:10:55	1606/1606	---M-Z	200	added ('OK')	text/css	etag:%22646-551936e2d79cd-gzip%22	http://theprogroup.co.nz/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/contact-form-7/includes/css/stylesef15.css	(from http://theprogroup.co.nz/)
10:10:55	30060/30060	---M-Z	200	added ('OK')	text/css	etag:%22756c-551935a089fec-gzip%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings5243.css	(from http://theprogroup.co.nz/)
10:10:55	11475/11475	---M-Z	200	added ('OK')	text/css	etag:%222cd3-551934f755740-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/css/layout.css?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/css/layoutef15.css	(from http://theprogroup.co.nz/)
10:10:55	861/861	---M-Z	200	added ('OK')	application/rss+xml	etag:%2216571dc2d7c7a4fb010d40658108dd56-gzip%22	http://theprogroup.co.nz/feed/	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/feed/index.html	(from http://theprogroup.co.nz/)
10:10:55	50510/50510	---M-Z	200	added ('OK')	text/css	etag:%22c54e-551934f771603-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/css/shortcodes.css?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/css/shortcodesef15.css	(from http://theprogroup.co.nz/)
10:10:55	20912/20912	---M-Z	200	added ('OK')	text/css	etag:%2251b0-5519350074350-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/fonts/fontello/be-themes.css?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/fonts/fontello/be-themesef15.css	(from http://theprogroup.co.nz/)
10:10:56	11525/11525	---M-Z	200	added ('OK')	text/css	etag:%222d05-551934f75952f-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/css/magnific-popup.css?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/css/magnific-popupef15.css	(from http://theprogroup.co.nz/)
